Name,Value,,,,,,,,,,,,,,,
Schedule Name,PR_250823,,,,,,,,,,,,,,,
Version,N/A,,,,,,,,,,,,,,,
Environment,Chamber 3 [1],,,,,,,,,,,,,,,
Machine Name,DESKTOP-73QI2H7,,,,,,,,,,,,,,,
Date/Time,09/26/2023 09:32:26,,,,,,,,,,,,,,,
Database,*DEFAULT,,,,,,,,,,,,,,,
Schedule Run ID,395,,,,,,,,,,,,,,,
Finalized,No,,,,,,,,,,,,,,,
Record Count,998,,,,,,,,,,,,,,,
Animal ID,397,,,,,,,,,,,,,,,
Application_Version,ABET II Touch 19.11.21.0,,,,,,,,,,,,,,,
Max_Number_Trials,0,,,,,,,,,,,,,,,
Max_Schedule_Time,3600,,,,,,,,,,,,,,,
Notes,26092301,,,,,,,,,,,,,,,
Schedule_Start_Time,2023-09-26T09:32:27.040,,,,,,,,,,,,,,,
User,DB,,,,,,,,,,,,,,,
Evnt_Time,Evnt_ID,Event_Name,Item_Name,Alias_Name,Group_ID,Num_Args,Arg1_Name,Arg1_Value,Arg2_Name,Arg2_Value,Arg3_Name,Arg3_Value,Arg4_Name,Arg4_Value,Arg5_Name,Arg5_Value
124.382,16,Variable Event,PR_count,,2,1,Value,7,,0,,0,,0,,0
124.382,61,Group Maintain Event,Group Change,,2,1,New Group,2,,0,,0,,0,,0
124.427,39,Input Transition Off Event,Nose_Poke #1,,2,0,,0,,0,,0,,0,,0
124.907,38,Input Transition On Event,Nose_Poke #1,,2,0,,0,,0,,0,,0,,0
124.907,1,Condition Event,PR Count,,2,0,,0,,0,,0,,0,,0
124.907,16,Variable Event,PR_count,,2,1,Value,8,,0,,0,,0,,0
124.907,61,Group Maintain Event,Group Change,,2,1,New Group,2,,0,,0,,0,,0
124.907,1,Condition Event,PR Evaluation,,2,0,,0,,0,,0,,0,,0
124.907,7,Pulse Output Event,Pump #1,,2,1,Duration,2.222,,0,,0,,0,,0
124.907,16,Variable Event,_Trial_Counter,,2,1,Value,5,,0,,0,,0,,0
124.907,16,Variable Event,Rewards_per_step,,2,1,Value,0,,0,,0,,0,,0
124.907,16,Variable Event,PR_count,,2,1,Value,0,,0,,0,,0,,0
124.907,61,Group Maintain Event,Group Change,,2,1,New Group,2,,0,,0,,0,,0
124.907,1,Condition Event,PR Rewards per Step,,2,0,,0,,0,,0,,0,,0
124.907,19,List Change - Next Value,PR_Value,,2,2,Index,6,Value,11,,0,,0,,0
124.907,16,Variable Event,Rewards_per_step,,2,1,Value,1,,0,,0,,0,,0
124.907,61,Group Maintain Event,Group Change,,2,1,New Group,2,,0,,0,,0,,0
125.326,39,Input Transition Off Event,Nose_Poke #1,,2,0,,0,,0,,0,,0,,0
125.386,38,Input Transition On Event,Nose_Poke #1,,2,0,,0,,0,,0,,0,,0
125.386,1,Condition Event,PR Count,,2,0,,0,,0,,0,,0,,0
125.386,16,Variable Event,PR_count,,2,1,Value,1,,0,,0,,0,,0
125.386,61,Group Maintain Event,Group Change,,2,1,New Group,2,,0,,0,,0,,0
125.431,39,Input Transition Off Event,Nose_Poke #1,,2,0,,0,,0,,0,,0,,0
125.791,38,Input Transition On Event,Nose_Poke #1,,2,0,,0,,0,,0,,0,,0
125.791,1,Condition Event,PR Count,,2,0,,0,,0,,0,,0,,0
125.791,16,Variable Event,PR_count,,2,1,Value,2,,0,,0,,0,,0
125.791,61,Group Maintain Event,Group Change,,2,1,New Group,2,,0,,0,,0,,0
125.836,39,Input Transition Off Event,Nose_Poke #1,,2,0,,0,,0,,0,,0,,0
125.956,38,Input Transition On Event,Nose_Poke #1,,2,0,,0,,0,,0,,0,,0
125.956,1,Condition Event,PR Count,,2,0,,0,,0,,0,,0,,0
125.956,16,Variable Event,PR_count,,2,1,Value,3,,0,,0,,0,,0
125.956,61,Group Maintain Event,Group Change,,2,1,New Group,2,,0,,0,,0,,0
126.03,39,Input Transition Off Event,Nose_Poke #1,,2,0,,0,,0,,0,,0,,0
126.33,38,Input Transition On Event,Nose_Poke #1,,2,0,,0,,0,,0,,0,,0
126.33,1,Condition Event,PR Count,,2,0,,0,,0,,0,,0,,0
126.33,16,Variable Event,PR_count,,2,1,Value,4,,0,,0,,0,,0
126.33,61,Group Maintain Event,Group Change,,2,1,New Group,2,,0,,0,,0,,0
126.434,39,Input Transition Off Event,Nose_Poke #1,,2,0,,0,,0,,0,,0,,0
126.675,38,Input Transition On Event,Tray #1,,2,0,,0,,0,,0,,0,,0
136.874,39,Input Transition Off Event,Tray #1,,2,0,,0,,0,,0,,0,,0
139.346,38,Input Transition On Event,Nose_Poke #1,,2,0,,0,,0,,0,,0,,0
139.346,1,Condition Event,PR Count,,2,0,,0,,0,,0,,0,,0
139.346,16,Variable Event,PR_count,,2,1,Value,5,,0,,0,,0,,0
139.346,61,Group Maintain Event,Group Change,,2,1,New Group,2,,0,,0,,0,,0
139.391,39,Input Transition Off Event,Nose_Poke #1,,2,0,,0,,0,,0,,0,,0
139.69,38,Input Transition On Event,Nose_Poke #1,,2,0,,0,,0,,0,,0,,0
139.691,1,Condition Event,PR Count,,2,0,,0,,0,,0,,0,,0
139.691,16,Variable Event,PR_count,,2,1,Value,6,,0,,0,,0,,0
139.691,61,Group Maintain Event,Group Change,,2,1,New Group,2,,0,,0,,0,,0
139.78,39,Input Transition Off Event,Nose_Poke #1,,2,0,,0,,0,,0,,0,,0
139.825,38,Input Transition On Event,Nose_Poke #1,,2,0,,0,,0,,0,,0,,0
139.825,1,Condition Event,PR Count,,2,0,,0,,0,,0,,0,,0
139.825,16,Variable Event,PR_count,,2,1,Value,7,,0,,0,,0,,0
139.825,61,Group Maintain Event,Group Change,,2,1,New Group,2,,0,,0,,0,,0
139.885,39,Input Transition Off Event,Nose_Poke #1,,2,0,,0,,0,,0,,0,,0
140.305,38,Input Transition On Event,Nose_Poke #1,,2,0,,0,,0,,0,,0,,0
140.305,1,Condition Event,PR Count,,2,0,,0,,0,,0,,0,,0
140.305,16,Variable Event,PR_count,,2,1,Value,8,,0,,0,,0,,0
140.305,61,Group Maintain Event,Group Change,,2,1,New Group,2,,0,,0,,0,,0
140.591,39,Input Transition Off Event,Nose_Poke #1,,2,0,,0,,0,,0,,0,,0
140.89,38,Input Transition On Event,Nose_Poke #1,,2,0,,0,,0,,0,,0,,0
140.89,1,Condition Event,PR Count,,2,0,,0,,0,,0,,0,,0
140.89,16,Variable Event,PR_count,,2,1,Value,9,,0,,0,,0,,0
140.89,61,Group Maintain Event,Group Change,,2,1,New Group,2,,0,,0,,0,,0
141.398,39,Input Transition Off Event,Nose_Poke #1,,2,0,,0,,0,,0,,0,,0
141.877,38,Input Transition On Event,Nose_Poke #1,,2,0,,0,,0,,0,,0,,0
141.877,1,Condition Event,PR Count,,2,0,,0,,0,,0,,0,,0
141.877,16,Variable Event,PR_count,,2,1,Value,10,,0,,0,,0,,0
141.877,61,Group Maintain Event,Group Change,,2,1,New Group,2,,0,,0,,0,,0
142.102,39,Input Transition Off Event,Nose_Poke #1,,2,0,,0,,0,,0,,0,,0
142.117,38,Input Transition On Event,Nose_Poke #1,,2,0,,0,,0,,0,,0,,0
142.117,1,Condition Event,PR Count,,2,0,,0,,0,,0,,0,,0
142.117,16,Variable Event,PR_count,,2,1,Value,11,,0,,0,,0,,0
